split,dataset,fold_idx,model_name,MSE,MAE,KLD
Test,chexpert,0,full_run_100e_ft25,0.014808633209516605,0.08843272427717845,5.784212191899617
Train,chexpert,0,full_run_100e_ft25,0.00935775890118546,0.07197628128859732,6.287582053078546
Test,chexpert,1,full_run_100e_ft25,0.016191219600538414,0.09058069561918576,5.117961088816325
Train,chexpert,1,full_run_100e_ft25,0.009825135063793924,0.07162520413597424,5.594029002719456
Test,chexpert,2,full_run_100e_ft25,0.01553232797111074,0.09087718029816945,8.309407234191895
Train,chexpert,2,full_run_100e_ft25,0.009198003707246648,0.07214623772435719,8.90830495622423
