split,dataset,fold_idx,model_name,MSE,MAE,KLD
Test,chexpert,0,full_run_100e_ft25,0.014808633209516605,0.08843272551894188,5.784212191899617
Train,chexpert,0,full_run_100e_ft25,0.00935775890118546,0.07197628170251846,6.287582053078546
Test,chexpert,1,full_run_100e_ft25,0.016191219445317984,0.09058069561918576,5.117961088816325
Train,chexpert,1,full_run_100e_ft25,0.009825135115534067,0.07162520330813196,5.594029002719456
Test,chexpert,2,full_run_100e_ft25,0.01553232797111074,0.09087717905640602,8.309407234191895
Train,chexpert,2,full_run_100e_ft25,0.009198003603766361,0.07214623731043604,8.90830495622423
